silo,page,url,parent,priority,status,geo_policy,notes
Лечение наркомании,Детоксикация от наркотиков,/uslugi/lechenie-narkomanii/detoksikaciya/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,
Лечение наркомании,УБОД,/uslugi/lechenie-narkomanii/detoksikaciya/ubod/,/uslugi/lechenie-narkomanii/detoksikaciya/,P0,Сделать/перенести,Нет,Только если реально оказывается и есть соответствующие условия/специалисты.
Лечение наркомании,Капельница при наркотической интоксикации,/uslugi/lechenie-narkomanii/detoksikaciya/kapelnica/,/uslugi/lechenie-narkomanii/detoksikaciya/,P1,Сделать/перенести,Нет,
Лечение наркомании,Лечение наркомании по городам МО,/uslugi/lechenie-narkomanii/mo/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,30 крупнейших городов МО; без метро,
Лечение наркомании,Лечение героиновой зависимости,/uslugi/lechenie-narkomanii/geroin/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение метадоновой зависимости,/uslugi/lechenie-narkomanii/metadon/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение мефедроновой зависимости,/uslugi/lechenie-narkomanii/mefedron/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение кокаиновой зависимости,/uslugi/lechenie-narkomanii/kokain/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение амфетаминовой зависимости,/uslugi/lechenie-narkomanii/amfetamin/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение метамфетаминовой зависимости,/uslugi/lechenie-narkomanii/metamfetamin/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от спайса,/uslugi/lechenie-narkomanii/spajs/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от гашиша,/uslugi/lechenie-narkomanii/gashish/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от марихуаны,/uslugi/lechenie-narkomanii/marihuana/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от солей,/uslugi/lechenie-narkomanii/soli/,/uslugi/lechenie-narkomanii/,P0,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от Альфа-PVP,/uslugi/lechenie-narkomanii/alfa-pvp/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Лечение наркомании,Лечение зависимости от бутирата,/uslugi/lechenie-narkomanii/butirat/,/uslugi/lechenie-narkomanii/,P1,Сделать/перенести,Нет,Без ГЕО. Отдельный URL только под самостоятельный кластер вещества.
Другие зависимости,Другие зависимости,/uslugi/drugie-zavisimosti/,/uslugi/,P1,Сделать/перенести,Нет,
Другие зависимости,Игромания / лудомания,/uslugi/drugie-zavisimosti/igromaniya/,/uslugi/drugie-zavisimosti/,P0,Сделать/перенести,Нет,
Другие зависимости,Зависимость от ставок,/uslugi/drugie-zavisimosti/stavki/,/uslugi/drugie-zavisimosti/,P1,Сделать/перенести,Нет,
Другие зависимости,Компьютерная зависимость,/uslugi/drugie-zavisimosti/kompyuternaya/,/uslugi/drugie-zavisimosti/,P1,Сделать/перенести,Нет,
Другие зависимости,Интернет-зависимость,/uslugi/drugie-zavisimosti/internet/,/uslugi/drugie-zavisimosti/,P1,Сделать/перенести,Нет,
Другие зависимости,Никотиновая зависимость,/uslugi/drugie-zavisimosti/nikotinovaya/,/uslugi/drugie-zavisimosti/,P1,Сделать/перенести,Нет,
Другие зависимости,Токсикомания,/uslugi/drugie-zavisimosti/toksikomaniya/,/uslugi/drugie-zavisimosti/,P0,Сделать/перенести,Нет,
Другие зависимости,Лекарственная зависимость,/uslugi/drugie-zavisimosti/lekarstvennaya/,/uslugi/drugie-zavisimosti/,P0,Сделать/перенести,Нет,
Другие зависимости,Прегабалин / Лирика,/uslugi/drugie-zavisimosti/lekarstvennaya/pregabalin/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P0,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Бензодиазепины,/uslugi/drugie-zavisimosti/lekarstvennaya/benzodiazepiny/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P1,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Феназепам,/uslugi/drugie-zavisimosti/lekarstvennaya/fenazepam/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P1,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Трамадол,/uslugi/drugie-zavisimosti/lekarstvennaya/tramadol/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P1,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Кодеин,/uslugi/drugie-zavisimosti/lekarstvennaya/kodein/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P1,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Габапентин,/uslugi/drugie-zavisimosti/lekarstvennaya/gabapentin/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P2,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Другие зависимости,Антидепрессанты: сопровождение отмены,/uslugi/drugie-zavisimosti/lekarstvennaya/antidepressanty/,/uslugi/drugie-zavisimosti/lekarstvennaya/,P1,Сделать/перенести,Нет,Формулировку «зависимость» использовать только после медицинской проверки конкретного вещества/сценария.
Реабилитация,Реабилитация зависимых,/uslugi/reabilitaciya/,/uslugi/,P0,Сделать/перенести,Нет,
Реабилитация,Реабилитация при алкоголизме,/uslugi/reabilitaciya/alkogolizm/,/uslugi/reabilitaciya/,P0,Сделать/перенести,Нет,
Реабилитация,Реабилитация при наркомании,/uslugi/reabilitaciya/narkomaniya/,/uslugi/reabilitaciya/,P0,Сделать/перенести,Нет,
Реабилитация,Реабилитация при игромании,/uslugi/reabilitaciya/igromaniya/,/uslugi/reabilitaciya/,P1,Сделать/перенести,Нет,
Реабилитация,Медико-социальная реабилитация,/uslugi/reabilitaciya/mediko-socialnaya/,/uslugi/reabilitaciya/,P0,Сделать/перенести,Нет,
Реабилитация,Программа «12 шагов»,/uslugi/reabilitaciya/12-shagov/,/uslugi/reabilitaciya/,P0,Сделать/перенести,Нет,
Реабилитация,Метод Шичко,/uslugi/reabilitaciya/metod-shichko/,/uslugi/reabilitaciya/,P0,Сделать/перенести,Нет,
Реабилитация,Ресоциализация,/uslugi/reabilitaciya/resocializaciya/,/uslugi/reabilitaciya/,P1,Сделать/перенести,Нет,
Реабилитация,Реабилитация по городам МО,/uslugi/reabilitaciya/mo/,/uslugi/reabilitaciya/,P1,Сделать/перенести,30 крупнейших городов МО; только при реальном маршруте/трансфере,
Психиатрия,Психиатрическая помощь,/uslugi/psihiatriya/,/uslugi/,P0,Сделать/перенести,Нет,
Психиатрия,Консультация психиатра,/uslugi/psihiatriya/konsultaciya/,/uslugi/psihiatriya/,P0,Сделать/перенести,Нет,
Психиатрия,Психиатр на дом,/uslugi/psihiatriya/psihiatr-na-dom/,/uslugi/psihiatriya/,P0,Сделать/перенести,Округа + 50 городов МО; метро не запускать на первом этапе,
Психиатрия,Онлайн-консультация психиатра,/uslugi/psihiatriya/onlajn/,/uslugi/psihiatriya/,P1,Сделать/перенести,Нет,
Психиатрия,Психиатрический стационар,/uslugi/psihiatriya/stacionar/,/uslugi/psihiatriya/,P1,Сделать/перенести,Нет,
Психиатрия,Тревожные и стрессовые расстройства,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,/uslugi/psihiatriya/,P0,Сделать/перенести,Нет,
Психиатрия,Паническое расстройство и панические атаки,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/panicheskoe/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,ОКР,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/okr/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,ПТСР,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/ptsr/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,Фобии,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/fobii/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,Генерализованное тревожное расстройство,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/generalizovannoe-trevozhnoe/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Социофобия,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/sociofobiya/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Агорафобия,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/agorafobiya/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Неврозы,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/nevroz/,/uslugi/psihiatriya/trevozhnye-i-stressovye-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Расстройства настроения,/uslugi/psihiatriya/rasstrojstva-nastroeniya/,/uslugi/psihiatriya/,P0,Сделать/перенести,Нет,
Психиатрия,Депрессия,/uslugi/psihiatriya/rasstrojstva-nastroeniya/depressiya/,/uslugi/psihiatriya/rasstrojstva-nastroeniya/,P0,Сделать/перенести,Нет,
Психиатрия,Биполярное расстройство,/uslugi/psihiatriya/rasstrojstva-nastroeniya/bipolyarnoe/,/uslugi/psihiatriya/rasstrojstva-nastroeniya/,P0,Сделать/перенести,Нет,
Психиатрия,Послеродовая депрессия,/uslugi/psihiatriya/rasstrojstva-nastroeniya/poslerodovaya-depressiya/,/uslugi/psihiatriya/rasstrojstva-nastroeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Дистимия,/uslugi/psihiatriya/rasstrojstva-nastroeniya/distimiya/,/uslugi/psihiatriya/rasstrojstva-nastroeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Психотические расстройства,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,/uslugi/psihiatriya/,P0,Сделать/перенести,Нет,
Психиатрия,Шизофрения,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/shizofreniya/,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,Шизоаффективное расстройство,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/shizoaffektivnoe/,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Шизотипическое расстройство,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/shizotipicheskoe/,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Психоз,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/psihoz/,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,P0,Сделать/перенести,Нет,
Психиатрия,Бредовое расстройство,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/bredovoe/,/uslugi/psihiatriya/psihoticheskie-rasstrojstva/,P1,Сделать/перенести,Нет,
Психиатрия,Расстройства личности и поведения,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,/uslugi/psihiatriya/,P1,Сделать/перенести,Нет,
Психиатрия,Пограничное расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/pogranichnoe/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Нарциссическое расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/narcissicheskoe/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Шизоидное расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/shizoidnoe/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Параноидное расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/paranoidnoe/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Избегающее расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/izbegayushchee/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Зависимое расстройство личности,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/zavisimoe/,/uslugi/psihiatriya/rasstrojstva-lichnosti-i-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Расстройства пищевого поведения,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/,/uslugi/psihiatriya/,P1,Сделать/перенести,Нет,
Психиатрия,Нервная анорексия,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/anoreksiya/,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/,P0,Сделать/перенести,Нет,
Психиатрия,Нервная булимия,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/bulimiya/,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/,P0,Сделать/перенести,Нет,
Психиатрия,Компульсивное переедание,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/kompulsivnoe-pereedanie/,/uslugi/psihiatriya/rasstrojstva-pishchevogo-povedeniya/,P1,Сделать/перенести,Нет,
Психиатрия,Когнитивные и органические расстройства,/uslugi/psihiatriya/kognitivnye-i-organicheskie/,/uslugi/psihiatriya/,P1,Сделать/перенести,Нет,
Психиатрия,Деменция,/uslugi/psihiatriya/kognitivnye-i-organicheskie/demenciya/,/uslugi/psihiatriya/kognitivnye-i-organicheskie/,P0,Сделать/перенести,Нет,
Психиатрия,Болезнь Альцгеймера,/uslugi/psihiatriya/kognitivnye-i-organicheskie/alcgejmer/,/uslugi/psihiatriya/kognitivnye-i-organicheskie/,P1,Сделать/перенести,Нет,
Психиатрия,Сосудистая деменция,/uslugi/psihiatriya/kognitivnye-i-organicheskie/sosudistaya-demenciya/,/uslugi/psihiatriya/kognitivnye-i-organicheskie/,P1,Сделать/перенести,Нет,
